Angle,Dist
30,124.6
32,123.7
34,103.4
36,53.1
38,28.2
40,20.5
42,19.8
44,19.3
46,18.4
48,17.0
50,16.7
52,17.0
54,19.2
56,89.1
58,124.5
60,124.6
62,117.1
64,79.4
66,67.1
68,68.6
70,75.2
72,92.9
74,103.5
76,117.0
78,116.1
80,99.5
82,81.4
84,73.8
86,69.3
88,69.9
90,84.8
92,123.9
94,124.4
96,124.5
98,124.8
100,123.6
102,124.6
104,124.6
106,124.6
108,124.5
110,124.3
112,124.3
114,124.1
116,124.3
118,124.5
120,104.5
122,97.1
124,105.0
126,124.5
128,124.7
130,124.1
132,114.9
134,66.0
136,37.2
138,21.5
140,22.7
142,24.1
144,25.4
146,26.6
148,27.4
150,29.7
